,Title,Released Year,Rotten Tomatoes Score,Cast,Director,Synopsis,Critics consensus
109,Casino Royale,2006,94%,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench",Martin Campbell,"After receiving a license to kill, British Secret Service agent James Bond (Daniel Craig) heads to Madagascar, where he uncovers... ","Casino Royale disposes of the silliness and gadgetry that plagued recent James Bond outings, and Daniel Craig delivers what fans and critics have been waiting for: a caustic, haunted, intense reinvention of 007."
110,Baby Driver,2017,92%,"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal",Edgar Wright,Talented getaway driver Baby (Ansel Elgort) relies on the beat of his personal soundtrack to be the best in the... ,"Stylish, exciting, and fueled by a killer soundtrack, Baby Driver hits the road and it's gone -- proving fast-paced action movies can be smartly written without sacrificing thrills."
111,Fist of Legend,1994,100%,"Jet Li, Chin Siu Ho, Billy Chow Bei-Lei, Yasuaki Kurata",Gordon Chan,"Chinese martial arts student Chen Zhen (Jet Li) is studying in Kyoto, Japan, when he learns his mentor has died... ",No consensus yet.
112,The Killer,1989,98%,"Chow Yun-Fat, Danny Lee, Sally Yeh, Kenneth Tsang",John Woo,"Mob assassin Jeffrey (Chow Yun-Fat) is no ordinary hired gun; the best in his business, he views his chosen profession... ",The Killer is another hard-boiled action flick from John Woo featuring eye-popping balletic violence and philosophical underpinnings.
113,The Raid 2,2014,82%,"Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara",Gareth Evans,"After surviving a bloody fight with powerful gangsters, rookie Jakarta cop Rama (Iko Uwais) thinks he can resume a normal... ","Although its high-energy plot and over-the-top violence may play better with genre aficionados, The Raid 2 definitely delivers more of everything audiences loved about its predecessor."
114,Enter the Dragon,1973,88%,"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri",Robert Clouse,Bruce Lee plays a martial-arts expert determined to help capture the narcotics dealer whose gang was responsible for the death... ,"Badass to the max, Enter the Dragon is the ultimate kung-fu movie and a fitting (if untimely) Bruce Lee swan song."
115,Commando,1985,67%,"Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya, Vernon Wells",Mark L. Lester,"Retired Special Forces soldier John Matrix (Arnold Schwarzenegger) lives with daughter Jenny (Alyssa Milano) in isolation, but his privacy is... ","The ultimate '80s Schwarzenegger movie, replete with a threadbare plot, outsized action, and endless one-liners."
116,First Blood,1982,86%,"Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso",Ted Kotcheff,Vietnam veteran and drifter John J. Rambo (Sylvester Stallone) wanders into a small Washington town in search of an old... ,"Much darker and more sensitive than the sequels it spawned, First Blood is a thrilling survival adventure that takes full advantage of Sylvester Stallone's acting skills."
117,Mission: Impossible Rogue Nation,2015,94%,"Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson",Christopher McQuarrie,"With the IMF now disbanded and Ethan Hunt (Tom Cruise) out in the cold, a new threat -- called the... ",Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.
118,The Terminator,1984,100%,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield",James Cameron,"Disguised as a human, a cyborg assassin known as a Terminator (Arnold Schwarzenegger) travels from 2029 to 1984 to kill... ","With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why The Terminator continues to be an influence on sci-fi and action flicks."
119,Gladiator,2000,80%,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",Ridley Scott,"Commodus (Joaquin Phoenix) takes power and strips rank from Maximus (Russell Crowe), one of the favored generals of his predecessor... ","While not everyone will be entertained by Gladiator's glum revenge story, Russell Crowe thunderously wins the crowd with a star-making turn that provides Ridley Scott's opulent resurrection of Rome its bruised heart."
120,Kill Bill: Vol. 1,2003,85%,"Uma Thurman, Lucy Liu, Vivica A. Fox, Michael Madsen",Quentin Tarantino,"A former assassin, known simply as The Bride (Uma Thurman), wakes from a coma four years after her jealous ex-lover... ",Kill Bill is admittedly little more than a stylish revenge thriller -- albeit one that benefits from a wildly inventive surfeit of style.
121,The Professional,1994,74%,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",Luc Besson,"Mathilda (Natalie Portman) is only 12 years old, but is already familiar with the dark side of life: her abusive... ",Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's Léon is a stylish and oddly affecting thriller.
122,Speed,1994,95%,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton",Jan de Bont,Los Angeles police officer Jack (Keanu Reeves) angers retired bomb squad member Howard Payne (Dennis Hopper) by foiling his attempt... ,"A terrific popcorn thriller, Speed is taut, tense, and energetic, with outstanding performances from Keanu Reeves, Dennis Hopper, and Sandra Bullock."
123,Drunken Master II,1994,84%,"Jackie Chan, Ti Lung, Anita Mui, Chia-Liang Liu",Chia-Liang Liu,"From a land where honor and tradition reign, comes the legend of a martial-arts hero unlike any other -- the... ",Jackie Chan sends up some amazing and entertaining fight sequences in The Legend of Drunken Master.
124,John Wick,2014,86%,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe",Chad Stahelski,Legendary assassin John Wick (Keanu Reeves) retired from his violent career after marrying the love of his life. Her sudden... ,"Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise."
125,"Crouching Tiger, Hidden Dragon",2000,98%,"Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Chang Chen",Ang Lee,"In 19th century Qing Dynasty China, a warrior (Chow Yun-Fat) gives his sword, Green Destiny, to his lover (Michelle Yeoh)... ","The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers, Crouching Tiger, Hidden Dragon features a deft mix of amazing martial arts battles, beautiful scenery, and tasteful drama."
126,Predator,1987,80%,"Arnold Schwarzenegger, Carl Weathers, Jesse Ventura, Elpidia Carrillo",John McTiernan,"Dutch (Arnold Schwarzenegger), a soldier of fortune, is hired by the U.S. government to secretly rescue a group of politicians... ","Predator: Part sci-fi, part horror, part action -- all muscle."
127,The Bourne Ultimatum,2007,92%,"Matt Damon, Julia Stiles, Joan Allen, David Strathairn",Paul Greengrass,Jason Bourne (Matt Damon) continues his international quest to uncover his true identity. From Russia to Europe to northern Africa... ,"The Bourne Ultimatum is an intelligent, finely tuned non-stop thrill ride. Another strong performance from Matt Damon and sharp camerawork from Paul Greengrass make this the finest installment of the Bourne trilogy."
128,Total Recall,1990,82%,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox",Paul Verhoeven,Douglas Quaid (Arnold Schwarzenegger) is a bored construction worker in the year 2084 who dreams of visiting the colonized Mars.... ,"Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks."
129,Mad Max 2: The Road Warrior,1981,95%,"Mel Gibson, Bruce Spence, Emil Minty, Vernon Wells",George Miller,"After avenging the death of his wife and young son at the hands of a vicious gang leader, Max (Mel... ","The Road Warrior is everything a bigger-budgeted Mad Max sequel with should be: bigger, faster, louder, but definitely not dumber."
130,Heat,1995,88%,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",Michael Mann,"Master criminal Neil McCauley (Robert De Niro) is trying to control the rogue actions of one of his men, while... ","Though Al Pacino and Robert De Niro share but a handful of screen minutes together, Heat is an engrossing crime drama that draws compelling performances from its stars -- and confirms Michael Mann's mastery of the genre."
131,The Raid: Redemption,2011,87%,"Iko Uwais, Joe Taslim, Donny Alamsyah, Yayan Ruhian",Gareth Evans,"A rookie member of an elite team of commandos, Rama (Iko Uwais) is instructed to hang back while his comrades-in-arms... ","No frills and all thrills, The Raid: Redemption is an inventive action film expertly paced and edited for maximum entertainment."
132,Mission: Impossible - Fallout,2018,97%,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg",Christopher McQuarrie,Ethan Hunt and the IMF team join forces with CIA assassin August Walker to prevent a disaster of epic proportions.... ,"Fast, sleek, and fun, Mission: Impossible - Fallout lives up to the ""impossible"" part of its name by setting yet another high mark for insane set pieces in a franchise full of them."
133,Raiders of the Lost Ark,1981,93%,"Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler",Steven Spielberg,"Dr. Indiana Jones, a renowned archeologist and expert in the occult, is hired by the U.S. Government to find the... ","Featuring bravura set pieces, sly humor, and white-knuckle action, Raiders of the Lost Ark is one of the most consummately entertaining adventure pictures of all time."
134,Aliens,1986,98%,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser",James Cameron,"After floating in space for 57 years, Lt. Ripley's (Sigourney Weaver) shuttle is found by a deep space salvage team.... ","While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver."
135,Hard-Boiled,1992,95%,"Chow Yun-Fat, Bowie Lam, Philip Chan, Tony Leung Chiu Wai",John Woo,A cop who loses his partner in a shoot-out with gun smugglers goes on a mission to catch them. In... ,"Boasting impactful action as well as surprising emotional resonance, Hard Boiled is a powerful thriller that hits hard in more ways than one."
136,The Matrix,1999,88%,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",Lilly Wachowski,"Neo (Keanu Reeves) believes that Morpheus (Laurence Fishburne), an elusive figure considered to be the most dangerous man alive, can... ","Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects."
137,Terminator 2: Judgment Day,1991,91%,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",James Cameron,"In this sequel set eleven years after ""The Terminator,"" young John Connor (Edward Furlong), the key to civilization's victory over... ","T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters."
138,Die Hard,1988,94%,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson",John McTiernan,New York City policeman John McClane (Bruce Willis) is visiting his estranged wife (Bonnie Bedelia) on Christmas Eve. He joins... ,Its many imitators (and sequels) have never come close to matching the taut thrills of the definitive holiday action classic.
139,Mad Max: Fury Road,2015,97%,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne",George Miller,"Years after the collapse of civilization, the tyrannical Immortan Joe enslaves apocalypse survivors inside the desert fortress the Citadel. When... ","With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life."
